العربيه,English
من,From
في,in
على,on me
و,And the
فى,in
يا,Hey
عن,About
مع,with
ان,that
هو,he is
علي,On
ما,What
اللي,Who
كل,All
بعد,distance
ده,this
اليوم,today
أن,that
يوم,day
انا,I
إلى,to me
كان,It was
ايه,any
اللى,Elly
الى,to me
دي,De
بين,between
انت,you
أنا,I
حتى,until
لما,when
فيه,in it
هذا,this
واحد,One
احنا,we
اي,Which
كده,Like this
إن,that
او,or
أو,or
عليه,on him
ف,then
دى,that
مين,who
الي,to me
كانت,she was
أمام,Before
زي,costume
يكون,is being
خلال,During
كنت,I was
هي,she
فيها,In which
عند,when
التي,that
الذي,that
قال,He said
هذه,this is
قد,may be
انه,it's a
ريتويت,Retuit
بعض,some
أول,first
ايه,any
الان,right Now
أي,Which
منذ,Ago
عليها,on her
له,for him
ال,The
تم,It was completed
دة,this
عليك,upon you
اى,Which
كلها,all of which
اللتى,That
هى,she
دا,This
انك,You are
وهو,and he
ومن,And from
منك,From you
نحن,we
زى,costume
أنت,You are
انهم,that they
معانا,With me
حتي,until
وانا,Me
عنه,about him
إلي,to me
ونحن,Us
وانت,And you
منكم,You are from you
وان,and that
معاهم,with them
معايا,With me
وأنا,Me
عنها,about her
إنه,it's a
اني,that I
معك,With you
اننا,We are
فيهم,Including
د,Dr
انتا,You
عنك,About you
وهى,Which
معا,together
آن,that
انتي,you
وأنت,And you
وإن,and that
ومع,With
وعن,On
معاكم,With you
معاكو,Maako
معاها,Together
وعليه,And accordingly
وانتم,And you
وانتي,And you
؟,?
!,!
